sar_path,terrain,split,sar_mean,sar_std,sar_p01,sar_median,sar_p99,r_mean,g_mean,b_mean,brightness,sar_entropy,eo_entropy,sar_edge_density,eo_edge_density
/kaggle/input/datasets/requiemonk/sentinel12-image-pairs-segregated-by-terrain/v_2/grassland/s1/ROIs1970_fall_s1_121_p170.png,grassland,test,0.49971088767051697,0.13832278549671173,0.15294118225574493,0.5058823823928833,0.7921568751335144,0.1944855898618698,0.23725324869155884,0.15650886297225952,0.19608256220817566,7.174412180273205,6.435442647258993,0.07098142802715302,0.03347429260611534
/kaggle/input/datasets/requiemonk/sentinel12-image-pairs-segregated-by-terrain/v_2/agri/s1/ROIs1970_fall_s1_19_p436.png,agri,train,0.4747887849807739,0.18535056710243225,0.03921568766236305,0.47058823704719543,0.9333333373069763,0.4872068166732788,0.45601361989974976,0.4501829445362091,0.4644678235054016,7.559214248378649,7.6915381235301075,0.09455390274524689,0.07621327042579651
/kaggle/input/datasets/requiemonk/sentinel12-image-pairs-segregated-by-terrain/v_2/urban/s1/ROIs1970_fall_s1_50_p26.png,urban,test,0.5413429737091064,0.21549144387245178,0.0784313753247261,0.5254902243614197,1.0,0.32945865392684937,0.266733855009079,0.24094456434249878,0.2790457010269165,7.600523814106401,6.958211894462265,0.09022822976112366,0.05524953454732895
/kaggle/input/datasets/requiemonk/sentinel12-image-pairs-segregated-by-terrain/v_2/urban/s1/ROIs1970_fall_s1_50_p49.png,urban,test,0.551164984703064,0.20767143368721008,0.08235294371843338,0.5529412031173706,1.0,0.2943779528141022,0.2507365047931671,0.24465134739875793,0.2632552981376648,7.601971111554232,6.943906354292535,0.09911681711673737,0.07433170080184937
/kaggle/input/datasets/requiemonk/sentinel12-image-pairs-segregated-by-terrain/v_2/grassland/s1/ROIs1970_fall_s1_72_p179.png,grassland,train,0.4408624768257141,0.1504678726196289,0.007843137718737125,0.4745098054409027,0.686274528503418,0.13267625868320465,0.228799507021904,0.22727333009243011,0.19624970853328705,7.1168884151142775,6.122110112434357,0.05079174414277077,0.02760518714785576
/kaggle/input/datasets/requiemonk/sentinel12-image-pairs-segregated-by-terrain/v_2/grassland/s1/ROIs1970_fall_s1_72_p736.png,grassland,train,0.5804387331008911,0.09263038635253906,0.3450980484485626,0.5843137502670288,0.7882353067398071,0.2924090623855591,0.35263752937316895,0.3001396656036377,0.31506210565567017,6.598943767258803,7.094028177641331,0.044934891164302826,0.040896300226449966
/kaggle/input/datasets/requiemonk/sentinel12-image-pairs-segregated-by-terrain/v_2/urban/s1/ROIs1970_fall_s1_27_p353.png,urban,train,0.7546002268791199,0.14088024199008942,0.3960784375667572,0.7529411911964417,1.0,0.4250750243663788,0.40113046765327454,0.3489598035812378,0.39172178506851196,6.91099267055756,7.099066804068401,0.0708368644118309,0.08021455258131027
/kaggle/input/datasets/requiemonk/sentinel12-image-pairs-segregated-by-terrain/v_2/agri/s1/ROIs1970_fall_s1_19_p283.png,agri,train,0.5332844853401184,0.16188795864582062,0.1568627506494522,0.5333333611488342,0.9333333373069763,0.23281006515026093,0.23290178179740906,0.2128806710243225,0.2261975109577179,7.394112645847032,7.172891238082637,0.0896301195025444,0.05782344192266464
/kaggle/input/datasets/requiemonk/sentinel12-image-pairs-segregated-by-terrain/v_2/grassland/s1/ROIs1970_fall_s1_72_p902.png,grassland,train,0.5998291969299316,0.11894328892230988,0.27843138575553894,0.6039215922355652,0.8745098114013672,0.14801082015037537,0.3082160949707031,0.26438161730766296,0.240202859044075,6.948735415910582,6.178746424545135,0.046465713530778885,0.027981018647551537
/kaggle/input/datasets/requiemonk/sentinel12-image-pairs-segregated-by-terrain/v_2/urban/s1/ROIs1970_fall_s1_27_p385.png,urban,train,0.8163802623748779,0.12002979964017868,0.5372549295425415,0.8117647171020508,1.0,0.44284069538116455,0.40754055976867676,0.36597010493278503,0.4054504334926605,6.470537086104094,7.098623788463574,0.06644687056541443,0.08487105369567871
/kaggle/input/datasets/requiemonk/sentinel12-image-pairs-segregated-by-terrain/v_2/agri/s1/ROIs1970_fall_s1_113_p472.png,agri,train,0.3835766017436981,0.2267560064792633,0.0,0.3803921639919281,0.8666666746139526,0.5914785861968994,0.46539294719696045,0.4553954601287842,0.5040889978408813,7.608546389596751,7.47960985547049,0.11577577888965607,0.04730166122317314
/kaggle/input/datasets/requiemonk/sentinel12-image-pairs-segregated-by-terrain/v_2/barrenland/s1/ROIs1970_fall_s1_114_p391.png,barrenland,val,0.424515038728714,0.1748766005039215,0.05098039284348488,0.4117647111415863,0.8823529481887817,0.5404965281486511,0.4539134204387665,0.4228021204471588,0.47240403294563293,7.479363779828827,6.486367396398237,0.08399318903684616,0.023808950558304787
/kaggle/input/datasets/requiemonk/sentinel12-image-pairs-segregated-by-terrain/v_2/agri/s1/ROIs1970_fall_s1_113_p219.png,agri,train,0.4419301748275757,0.1901068538427353,0.0,0.4470588266849518,0.8627451062202454,0.47713959217071533,0.41874051094055176,0.3825342059135437,0.42613813281059265,7.570256877020272,6.9769399534867595,0.114595428109169,0.04568196088075638
/kaggle/input/datasets/requiemonk/sentinel12-image-pairs-segregated-by-terrain/v_2/grassland/s1/ROIs1970_fall_s1_121_p492.png,grassland,test,0.5485007762908936,0.18630559742450714,0.12686266005039215,0.5372549295425415,1.0,0.1260554939508438,0.1704215407371521,0.13098390400409698,0.14248698949813843,7.5222412015879145,6.366344001876171,0.0728762224316597,0.026152269914746284
/kaggle/input/datasets/requiemonk/sentinel12-image-pairs-segregated-by-terrain/v_2/agri/s1/ROIs1868_summer_s1_59_p591.png,agri,train,0.453558087348938,0.2354927659034729,0.0,0.4274509847164154,0.9607843160629272,0.3951045572757721,0.41595134139060974,0.4154698848724365,0.40884190797805786,7.806867317998392,7.351528952677231,0.0881183072924614,0.030708516016602516
